species_ncbi_tax_id,ncbi_tax_id,organism_name,primary_key
199306,469472,Coccidioides posadasii CPA 0001,<i>Coccidioides posadasii</i> CPA 0001
121759,482561,Paracoccidioides brasiliensis Pb03,<i>Paracoccidioides brasiliensis</i> Pb03
4899,483514,Schizosaccharomyces octosporus yFS286,<i>Schizosaccharomyces octosporus</i> yFS286
199306,490065,Coccidioides posadasii RMSCC 1037,<i>Coccidioides posadasii</i> RMSCC 1037
199306,490066,Coccidioides posadasii RMSCC 1038,<i>Coccidioides posadasii</i> RMSCC 1038
199306,490068,Coccidioides posadasii CPA 0020,<i>Coccidioides posadasii</i> CPA 0020
199306,490069,Coccidioides posadasii CPA 0066,<i>Coccidioides posadasii</i> CPA 0066
1108849,500485,Penicillium rubens Wisconsin 54-1255,<i>Penicillium rubens</i> Wisconsin 54-1255
1048829,502779,Paracoccidioides lutzii Pb01,<i>Paracoccidioides lutzii</i> Pb01
121759,502780,Paracoccidioides brasiliensis Pb18,<i>Paracoccidioides brasiliensis</i> Pb18
5062,510516,Aspergillus oryzae RIB40,<i>Aspergillus oryzae</i> RIB40
40127,510951,Neurospora tetrasperma FGSC 2508,<i>Neurospora tetrasperma</i> FGSC 2508
29879,510953,Neurospora discreta FGSC 8579,<i>Neurospora discreta</i> FGSC 8579
2587412,515849,Podospora anserina S mat+,<i>Podospora anserina</i> S mat+
63402,535722,Nannizzia gypsea CBS 118893,<i>Nannizzia gypsea</i> CBS 118893
5037,544711,Histoplasma capsulatum var. duboisii H88,<i>Histoplasma capsulatum</i> var. duboisii H88
5037,544712,Histoplasma capsulatum H143,<i>Histoplasma capsulatum</i> H143
63405,554155,Microsporum canis CBS 113480,<i>Microsporum canis</i> CBS 113480
4932,559292,Saccharomyces cerevisiae S288C,<i>Saccharomyces cerevisiae</i> S288C
5039,559297,Blastomyces dermatitidis ER-3,<i>Blastomyces dermatitidis</i> ER-3
1681229,559298,Blastomyces gilchristii SLH14081,<i>Blastomyces gilchristii</i> SLH14081
5551,559305,Trichophyton rubrum CBS 118892,<i>Trichophyton rubrum</i> CBS 118892
272952,559515,Hyaloperonospora arabidopsidis Emoy2,<i>Hyaloperonospora arabidopsidis</i> Emoy2
63418,559882,Trichophyton equinum CBS 127.97,<i>Trichophyton equinum</i> CBS 127.97
78579,573729,Thermothelomyces thermophilus ATCC 42464,<i>Thermothelomyces thermophilus</i> ATCC 42464
42374,573826,Candida dubliniensis CD36,<i>Candida dubliniensis</i> CD36
5480,578454,Candida parapsilosis CDC317,<i>Candida parapsilosis</i> CDC317
5217,578456,Tremella mesenterica DSM 1558,<i>Tremella mesenterica</i> DSM 1558
5334,578458,Schizophyllum commune H4-8,<i>Schizophyllum commune</i> H4-8
28583,578462,Allomyces macrogynus ATCC 38327,<i>Allomyces macrogynus</i> ATCC 38327
40993,602072,Aspergillus carbonarius ITEM 5010,<i>Aspergillus carbonarius</i> ITEM 5010
208348,630390,Puccinia triticina 1-1 BBBD Race 1,<i>Puccinia triticina</i> 1-1 BBBD Race 1
36779,644352,Gaeumannomyces tritici R3-111a-1,<i>Gaeumannomyces tritici</i> R3-111a-1
148304,644358,Magnaporthiopsis poae ATCC 64411,<i>Magnaporthiopsis poae</i> ATCC 64411
31870,645133,Colletotrichum graminicola M1.001,<i>Colletotrichum graminicola</i> M1.001
109760,645134,Spizellomyces punctatus DAOM BR117,<i>Spizellomyces punctatus</i> DAOM BR117
34387,647933,Trichophyton tonsurans CBS 112818,<i>Trichophyton tonsurans</i> CBS 112818
92637,655827,Metarhizium acridum CQMa 102,<i>Metarhizium acridum</i> CQMa 102
655981,658429,Pseudogymnoascus destructans 20631-21,<i>Pseudogymnoascus destructans</i> 20631-21
5507,660025,Fusarium oxysporum f. sp. conglutinans Fo5176,<i>Fusarium oxysporum</i> f. sp. conglutinans Fo5176
5507,660027,Fusarium oxysporum Fo47,<i>Fusarium oxysporum</i> Fo47
5507,660029,Fusarium oxysporum NRRL 32931,<i>Fusarium oxysporum</i> NRRL 32931
2747968,660122,Fusarium vanettenii 77-13-4,<i>Fusarium vanettenii</i> 77-13-4
5180,665079,Sclerotinia sclerotiorum 1980 UF-70,<i>Sclerotinia sclerotiorum</i> 1980 UF-70
45130,665912,Bipolaris sorokiniana ND90Pr,<i>Bipolaris sorokiniana</i> ND90Pr
5053,690307,Aspergillus aculeatus ATCC 16872,<i>Aspergillus aculeatus</i> ATCC 16872
101203,695850,Saprolegnia parasitica CBS 223.65,<i>Saprolegnia parasitica</i> CBS 223.65
588596,747089,Rhizophagus irregularis DAOM 181602=DAOM 197198,<i>Rhizophagus irregularis</i> DAOM 181602=DAOM 197198
203908,747676,Melampsora larici-populina 98AG31,<i>Melampsora laricis-populina</i> 98AG31
29924,747725,Mucor lusitanicus CBS 277.49,<i>Mucor lusitanicus</i> CBS 277.49
80884,759273,Colletotrichum higginsianum IMI 349063,<i>Colletotrichum higginsianum</i> IMI 349063
4792,761204,Phytophthora nicotianae INRA-310,<i>Phytophthora nicotianae</i> INRA-310
4837,763407,Phycomyces blakesleeanus NRRL 1555(-),<i>Phycomyces blakesleeanus</i> NRRL 1555(-)
4784,763924,Phytophthora capsici LT1534,<i>Phytophthora capsici</i> LT1534
319629,767769,Aspergillus brasiliensis CBS 101740,<i>Aspergillus brasiliensis</i> CBS 101740
5068,767770,Aspergillus tubingensis CBS 134.48,<i>Aspergillus tubingensis</i> CBS 134.48
5147,771870,Sordaria macrospora k-hell,<i>Sordaria macrospora</i> k-hell
5570,794803,Cenococcum geophilum 1.58,<i>Cenococcum geophilum</i> 1.58
5970,858893,Exophiala dermatitidis NIH/UT8656,<i>Exophiala dermatitidis</i> NIH/UT8656
27350,875184,Puccinia striiformis f. sp. tritici PST-130,<i>Puccinia striiformis</i> f. sp. tritici PST-130
35717,877507,Epichloe festucae Fl1,<i>Epichloe festucae</i> Fl1
653948,890382,Albugo laibachii Nc14,<i>Albugo laibachii</i> Nc14
65357,911350,Albugo candida 2VRR,<i>Albugo candida</i> 2VRR
73501,983644,Cordyceps militaris CM01,<i>Cordyceps militaris</i> CM01
5022,985895,Plenodomus lingam JN3,<i>Plenodomus lingam</i> JN3
72558,999809,Sporisorium reilianum SRZ2,<i>Sporisorium reilianum</i> SRZ2
5599,,Alternaria alternata SRC1lrK2f,<i>Alternaria alternata</i> SRC1lrK2f
112090,,Aphanomyces astaci strain APO3,<i>Aphanomyces astaci</i> strain APO3
573508,,Aspergillus cristatus GZAAS20.1005,<i>Aspergillus cristatus</i> GZAAS20.1005
48095,,Alternaria dauci A2016,<i>Alternaria dauci</i> A2016
100861,,Aphanomyces euteiches MF1,<i>Aphanomyces euteiches</i> MF1
97331,,Arthrobotrys flagrans CBS H-5679,<i>Arthrobotrys flagrans</i> CBS H-5679
5059,,Aspergillus flavus NRRL3357 2020,<i>Aspergillus flavus</i> NRRL3357 2020
746128,,Aspergillus fumigatus A1160,<i>Aspergillus fumigatus</i> A1160
157072,,Aphanomyces invadans NJM9701,<i>Aphanomyces invadans</i> NJM9701
293939,,Aspergillus lentulus strain IFM 54703,<i>Aspergillus lentulus</i> strain IFM 54703
82521,,Apiotrichum montevideense JCM 9937,<i>Apiotrichum montevideense</i> JCM 9937
2074759,,Amauroascus mutatus isolate UAMH 3576,<i>Amauroascus verrucosus</i> UAMH3576
5061,,Aspergillus niger strain LDM3,<i>Aspergillus niger</i> strain LDM3
5061,,Aspergillus niger strain N402 (ATCC64974),<i>Aspergillus niger</i> strain N402 (ATCC64974)
89421,,Amauroascus niger isolate UAMH 3544,<i>Amauroascus niger</i> isolate UAMH 3544
5067,,Aspergillus parasiticus CBS 117618,<i>Aspergillus parasiticus</i> CBS 117618
1220188,,Aspergillus tanneri NIH1004,<i>Aspergillus tanneri</i> NIH1004
41047,,Aspergillus thermomutatus strain HMR AF 39,<i>Aspergillus thermomutatus</i> strain HMR AF 39
760013,,Apophysomyces variabilis NCCPF 102052,<i>Apophysomyces variabilis</i> NCCPF 102052
176275,,Beauveria bassiana HN6,<i>Beauveria bassiana</i> HN6
166112,,Byssoonygena ceratinophila isolate UAMH 5669,<i>Byssoonygena ceratinophila</i> isolate UAMH 5669
